time,hr_burner_combustion
328,2756049.615993
328.5,2756985.517511
329,2757919.122861
329.5,2758850.438206
330,2759779.46969
330.5,2760706.223436
331,2761630.705545
331.5,2762552.922101
332,2763472.879165
332.5,2764390.582779
333,2765306.038967
333.5,2766219.253729
334,2767130.23305
334.5,2768038.982892
335,2768945.509199
335.5,2769849.817895
336,2770751.914885
336.5,2771651.806055
337,2772549.49727
337.5,2773444.994379
338,2774338.303209
338.5,2775229.429569
339,2776118.379251
339.5,2777005.158026
340,2777889.771647
340.5,2778772.225848
341,2779652.526346
341.5,2780530.678839
342,2781406.689005
342.5,2782280.562505
343,2783152.304983
343.5,2784021.922063
344,2784889.419352
344.5,2785754.802439
345,2786618.076895
345.5,2787479.248273
346,2788338.322108
346.5,2789195.303919
347,2790050.199206
347.5,2790903.013452
348,2791753.752123
348.5,2792602.420666
349,2793449.024513
349.5,2794293.569077
350,2795136.059756
350.5,2795976.50193
351,2796814.900961
351.5,2797651.262195
352,2798485.590961
352.5,2799317.892572
353,2800148.172325
353.5,2800976.435498
354,2801802.687354
354.5,2802626.933139
355,2803449.178084
355.5,2804269.427403
356,2805087.686292
356.5,2805903.959934
357,2806718.253494
357.5,2807530.572121
358,2808340.920949
358.5,2809149.305095
359,2809955.72966
359.5,2810760.199732
360,2811562.720379
360.5,2812363.296658
361,2813161.933607
361.5,2813958.636249
362,2814753.409594
362.5,2815546.258634
363,2816337.188346
363.5,2817126.203694
364,2817913.309624
364.5,2818698.511069
365,2819481.812946
365.5,2820263.220157
366,2821042.73759
366.5,2821820.370116
367,2822596.122594
367.5,2823369.999867
368,2824142.006763
368.5,2824912.148095
369,2825680.428663
369.5,2826446.853252
370,2827211.426631
370.5,2827974.153557
371,2828735.038771
371.5,2829494.087001
372,2830251.302959
372.5,2831006.691345
373,2831760.256844
373.5,2832512.004126
374,2833261.937849
374.5,2834010.062656
375,2834756.383175
375.5,2835500.904023
376,2836243.6298
376.5,2836984.565096
377,2837723.714483
377.5,2838461.082524
378,2839196.673765
378.5,2839930.49274
379,2840662.543969
379.5,2841392.83196
380,2842121.361206
380.5,2842848.136188
381,2843573.161372
381.5,2844296.441214
382,2845017.980153
382.5,2845737.782618
383,2846455.853023
383.5,2847172.195772
384,2847886.815252
384.5,2848599.71584
385,2849310.901899
385.5,2850020.37778
386,2850728.147822
386.5,2851434.216349
387,2852138.587674
387.5,2852841.266097
388,2853542.255906
388.5,2854241.561376
389,2854939.18677
389.5,2855635.136339
390,2856329.41432
390.5,2857022.024939
391,2857712.97241
391.5,2858402.260935
392,2859089.894702
392.5,2859775.877889
393,2860460.214662
393.5,2861142.909173
394,2861823.965563
394.5,2862503.387962
395,2863181.180488
395.5,2863857.347246
396,2864531.89233
396.5,2865204.819823
397,2865876.133794
397.5,2866545.838303
398,2867213.937397
398.5,2867880.435111
399,2868545.335471
399.5,2869208.642488
400,2869870.360164
400.5,2870530.492489
401,2871189.043442
401.5,2871846.01699
402,2872501.417089
402.5,2873155.247684
403,2873807.512708
403.5,2874458.216084
404,2875107.361725
404.5,2875754.953529
405,2876400.995386
405.5,2877045.491175
406,2877688.444764
406.5,2878329.860009
407,2878969.740755
407.5,2879608.090838
408,2880244.914082
408.5,2880880.2143
409,2881513.995045
409.5,2882146.238251
410,2882776.94956
410.5,2883406.146981
411,2884033.83772
411.5,2884660.026363
412,2885284.716854
412.5,2885907.912974
413,2886529.618459
413.5,2887149.837024
414,2887768.57237
414.5,2888385.82819
415,2889001.608165
415.5,2889615.915966
416,2890228.755254
416.5,2890840.129681
417,2891450.042885
417.5,2892058.498499
418,2892665.500143
418.5,2893271.051427
419,2893875.155951
419.5,2894477.817307
420,2895079.039075
420.5,2895678.824827
421,2896277.178122
421.5,2896874.102512
422,2897469.601539
422.5,2898063.678734
423,2898656.33762
423.5,2899247.581708
424,2899837.414502
424.5,2900425.839495
425,2901012.860169
425.5,2901598.48
426,2902182.702451
426.5,2902765.530978
427,2903346.969026
427.5,2903927.020031
428,2904505.687421
428.5,2905082.974613
429,2905658.885014
429.5,2906233.422025
430,2906806.589034
430.5,2907378.389422
431,2907948.826561
431.5,2908517.903811
432,2909085.624528
432.5,2909651.992053
433,2910217.009723
433.5,2910780.680863
434,2911343.008789
434.5,2911903.99681
435,2912463.648225
435.5,2913021.966323
436,2913578.954386
436.5,2914134.615686
437,2914688.953487
437.5,2915241.971042
438,2915793.671599
438.5,2916344.058394
439,2916893.134656
439.5,2917440.903604
440,2917987.36845
440.5,2918532.532396
441,2919076.398636
441.5,2919618.970356
442,2920160.250732
442.5,2920700.242933
443,2921238.950119
443.5,2921776.375441
444,2922312.522042
444.5,2922847.393057
445,2923380.991612
445.5,2923913.320824
446,2924444.383805
446.5,2924974.183654
447,2925502.723465
447.5,2926030.006323
448,2926556.035304
448.5,2927080.813478
449,2927604.343903
449.5,2928126.629633
450,2928647.673711
450.5,2929167.479173
451,2929686.049049
451.5,2930203.386356
452,2930719.494108
452.5,2931234.375308
453,2931748.032952
453.5,2932260.470029
454,2932771.689518
454.5,2933281.694393
455,2933790.487617
455.5,2934298.072147
456,2934804.450932
456.5,2935309.626914
457,2935813.603025
457.5,2936316.382192
458,2936817.967332
458.5,2937318.361356
459,2937817.567166
459.5,2938315.587657
460,2938812.425717
460.5,2939308.084226
461,2939802.566056
461.5,2940295.874071
462,2940788.01113
462.5,2941278.980081
463,2941768.783768
463.5,2942257.425024
464,2942744.906679
464.5,2943231.231551
465,2943716.402453
465.5,2944200.422192
466,2944683.293565
466.5,2945165.019362
467,2945645.602368
467.5,2946125.045359
468,2946603.351103
468.5,2947080.522363
469,2947556.561893
