Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.02,100.0,1.75,87409491748.4,
0.02,100.0,1.5,83437683522.8,
0.02,140.0,2.0,2.2104277571e+11,
0.02,100.0,1.25,79237904958.3,
0.02,140.0,1.75,2.14583047656e+11,
0.02,100.0,1.0,74679211455.4,
0.02,140.0,1.5,2.07616077785e+11,
0.02,100.0,0.75,69522282727.6,
0.02,140.0,1.25,1.99927775744e+11,
0.02,100.0,0.5,63244843212.1,
0.02,140.0,1.0,1.91165717197e+11,
0.02,100.0,0.25,54217633503.8,
0.02,140.0,0.75,1.80679901981e+11,
0.02,140.0,0.5,1.67037433105e+11,
0.02,140.0,0.25,1.45735829261e+11,
0.02,130.0,2.0,1.80494131283e+11,
0.02,130.0,1.75,1.74846009724e+11,
0.02,130.0,1.5,1.68803104937e+11,
0.02,130.0,1.25,1.62192840692e+11,
0.02,130.0,1.0,1.54731862714e+11,
0.02,130.0,0.75,1.45898140717e+11,
0.02,130.0,0.5,1.34543226838e+11,
0.02,130.0,0.25,1.17064240855e+11,
0.03,80.0,2.0,53011996622.7,
0.03,80.0,1.75,50159501567.8,
0.03,80.0,1.5,47259683375.6,
0.03,80.0,1.25,44271870716.5,
0.03,80.0,1.0,41128694663.7,
0.03,80.0,0.75,37709017125.8,
0.03,80.0,0.5,33748242597.6,
0.03,80.0,0.25,28423892737.9,
0.03,90.0,2.0,69345541472.7,
0.03,90.0,1.75,66152141424.6,
0.03,90.0,1.5,62866349851.1,
0.03,90.0,1.25,59430430778.5,
0.03,90.0,1.0,55749453971.8,
0.03,90.0,0.75,51649521524.8,
0.03,90.0,0.5,46750037467.3,
0.03,90.0,0.25,39866896835.7,
0.03,100.0,2.0,89605737553.9,
0.03,100.0,1.75,85999585501.3,
0.03,100.0,1.5,82245559696.6,
0.03,100.0,1.25,78263931382.1,
0.03,100.0,1.0,73925367744.9,
0.03,100.0,0.75,68990893802.7,
0.03,100.0,0.5,62936265843.4,
0.03,100.0,0.25,54127654400.6,
0.03,130.0,2.0,1.78366410783e+11,
0.03,130.0,1.75,1.73001299981e+11,
0.03,130.0,1.5,1.67242448059e+11,
0.03,130.0,1.25,1.60917569527e+11,
0.03,130.0,1.0,1.53745181506e+11,
0.03,130.0,0.75,1.45203372082e+11,
0.03,130.0,0.5,1.3414066426e+11,
0.03,130.0,0.25,1.16947267418e+11,
0.03,140.0,2.0,2.18746701469e+11,
0.03,140.0,1.75,2.12592302719e+11,
0.03,140.0,1.5,2.05931861975e+11,
0.03,140.0,1.25,1.9855168951e+11,
0.03,140.0,1.0,1.90101289232e+11,
0.03,140.0,0.75,1.79930664345e+11,
0.03,140.0,0.5,1.66603565018e+11,
0.03,140.0,0.25,1.45609858112e+11,
0.03,110.0,2.0,1.14235470208e+11,
0.03,110.0,1.75,1.10135733594e+11,
0.03,110.0,1.5,1.05820187812e+11,
0.03,110.0,1.25,1.01183059612e+11,
0.03,110.0,1.0,96052758019.2,
0.03,110.0,0.75,90111545462.7,
0.03,110.0,0.5,82660863688.6,
0.03,110.0,0.25,71519247499.9,
0.03,120.0,2.0,1.43675728849e+11,
0.03,120.0,1.75,1.38992612495e+11,
0.03,120.0,1.5,1.34012115066e+11,
0.03,120.0,1.25,1.28597770914e+11,
0.03,120.0,1.0,1.22527492582e+11,
0.03,120.0,0.75,1.15389675551e+11,
0.03,120.0,0.5,1.06277711517e+11,
0.03,120.0,0.25,92354757889.5,
0.04,100.0,2.0,87985536024.9,
0.04,100.0,1.75,84595170979.8,
0.04,100.0,1.5,81057458869.4,
0.04,100.0,1.25,77292606148.2,
0.04,100.0,1.0,73172965521.4,
0.04,100.0,0.75,68460123043.7,
0.04,100.0,0.5,62627836592.1,
0.04,100.0,0.25,54037674180.3,
0.03,150.0,2.0,2.65255323299e+11,
0.03,150.0,1.75,2.58195773786e+11,
0.03,150.0,1.5,2.50500777631e+11,
